folder_path,image_id,class,purpose
fire/imgs,fire00000.png,fire,train
fire/imgs,fire00001.png,fire,train
fire/imgs,fire00002.png,fire,test
fire/imgs,fire00003.png,fire,train
fire/imgs,fire00004.png,fire,train
fire/imgs,fire00005.png,fire,train
fire/imgs,fire00006.png,fire,test
fire/imgs,fire00007.png,fire,train
fire/imgs,fire00008.png,fire,train
fire/imgs,fire00009.png,fire,test
fire/imgs,fire00010.png,fire,train
fire/imgs,fire00011.png,fire,test
fire/imgs,fire00012.png,fire,train
fire/imgs,fire00013.png,fire,train
fire/imgs,fire00014.png,fire,train
fire/imgs,fire00015.png,fire,train
fire/imgs,fire00016.png,fire,train
fire/imgs,fire00017.png,fire,train
fire/imgs,fire00018.png,fire,train
fire/imgs,fire00019.png,fire,train
fire/imgs,fire00020.png,fire,train
fire/imgs,fire00021.png,fire,test
fire/imgs,fire00022.png,fire,train
fire/imgs,fire00023.png,fire,train
fire/imgs,fire00024.png,fire,test
fire/imgs,fire00025.png,fire,test
fire/imgs,fire00026.png,fire,test
fire/imgs,fire00027.png,fire,train
fire/imgs,fire00028.png,fire,train
fire/imgs,fire00029.png,fire,test
fire/imgs,fire00030.png,fire,train
fire/imgs,fire00031.png,fire,train
fire/imgs,fire00032.png,fire,train
fire/imgs,fire00033.png,fire,train
fire/imgs,fire00034.png,fire,train
fire/imgs,fire00035.png,fire,train
fire/imgs,fire00036.png,fire,train
fire/imgs,fire00037.png,fire,test
fire/imgs,fire00038.png,fire,train
fire/imgs,fire00039.png,fire,train
fire/imgs,fire00040.png,fire,test
fire/imgs,fire00041.png,fire,train
fire/imgs,fire00042.png,fire,train
fire/imgs,fire00043.png,fire,train
fire/imgs,fire00044.png,fire,train
fire/imgs,fire00045.png,fire,train
fire/imgs,fire00046.png,fire,train
fire/imgs,fire00047.png,fire,train
fire/imgs,fire00048.png,fire,train
fire/imgs,fire00049.png,fire,train
fire/imgs,fire00050.png,fire,train
fire/imgs,fire00051.png,fire,test
fire/imgs,fire00052.png,fire,train
fire/imgs,fire00053.png,fire,train
fire/imgs,fire00054.png,fire,train
fire/imgs,fire00055.png,fire,train
fire/imgs,fire00056.png,fire,train
fire/imgs,fire00057.png,fire,train
fire/imgs,fire00058.png,fire,train
fire/imgs,fire00059.png,fire,train
fire/imgs,fire00060.png,fire,train
fire/imgs,fire00061.png,fire,train
fire/imgs,fire00062.png,fire,train
fire/imgs,fire00063.png,fire,test
fire/imgs,fire00064.png,fire,train
fire/imgs,fire00065.png,fire,test
fire/imgs,fire00066.png,fire,train
fire/imgs,fire00067.png,fire,train
fire/imgs,fire00068.png,fire,train
fire/imgs,fire00069.png,fire,train
fire/imgs,fire00070.png,fire,train
fire/imgs,fire00071.png,fire,test
fire/imgs,fire00072.png,fire,train
fire/imgs,fire00073.png,fire,train
fire/imgs,fire00074.png,fire,train
fire/imgs,fire00075.png,fire,train
fire/imgs,fire00076.png,fire,test
fire/imgs,fire00077.png,fire,test
fire/imgs,fire00078.png,fire,test
fire/imgs,fire00079.png,fire,test
fire/imgs,fire00080.png,fire,train
fire/imgs,fire00081.png,fire,train
fire/imgs,fire00082.png,fire,train
fire/imgs,fire00083.png,fire,train
fire/imgs,fire00084.png,fire,train
fire/imgs,fire00085.png,fire,train
fire/imgs,fire00086.png,fire,train
fire/imgs,fire00087.png,fire,test
fire/imgs,fire00088.png,fire,test
fire/imgs,fire00089.png,fire,train
fire/imgs,fire00090.png,fire,test
fire/imgs,fire00091.png,fire,train
fire/imgs,fire00092.png,fire,train
fire/imgs,fire00093.png,fire,train
fire/imgs,fire00094.png,fire,train
fire/imgs,fire00095.png,fire,train
fire/imgs,fire00096.png,fire,train
fire/imgs,fire00097.png,fire,train
fire/imgs,fire00098.png,fire,train
fire/imgs,fire00099.png,fire,train
fire/imgs,fire00100.png,fire,train
fire/imgs,fire00101.png,fire,train
fire/imgs,fire00102.png,fire,train
fire/imgs,fire00103.png,fire,train
fire/imgs,fire00104.png,fire,train
fire/imgs,fire00105.png,fire,test
fire/imgs,fire00106.png,fire,train
fire/imgs,fire00107.png,fire,train
fire/imgs,fire00108.png,fire,train
fire/imgs,fire00109.png,fire,train
fire/imgs,fire00110.png,fire,train
fire/imgs,fire00111.png,fire,train
fire/imgs,fire00112.png,fire,train
fire/imgs,fire00113.png,fire,train
fire/imgs,fire00114.png,fire,train
fire/imgs,fire00115.png,fire,train
fire/imgs,fire00116.png,fire,train
fire/imgs,fire00117.png,fire,test
fire/imgs,fire00118.png,fire,train
fire/imgs,fire00119.png,fire,train
fire/imgs,fire00120.png,fire,train
fire/imgs,fire00121.png,fire,train
fire/imgs,fire00122.png,fire,train
fire/imgs,fire00123.png,fire,train
fire/imgs,fire00124.png,fire,test
fire/imgs,fire00125.png,fire,train
fire/imgs,fire00126.png,fire,train
fire/imgs,fire00127.png,fire,train
fire/imgs,fire00128.png,fire,train
fire/imgs,fire00129.png,fire,train
fire/imgs,fire00130.png,fire,train
fire/imgs,fire00131.png,fire,test
fire/imgs,fire00132.png,fire,train
fire/imgs,fire00133.png,fire,train
fire/imgs,fire00134.png,fire,train
fire/imgs,fire00135.png,fire,train
fire/imgs,fire00136.png,fire,train
fire/imgs,fire00137.png,fire,train
fire/imgs,fire00138.png,fire,test
fire/imgs,fire00139.png,fire,train
fire/imgs,fire00140.png,fire,train
fire/imgs,fire00141.png,fire,train
fire/imgs,fire00142.png,fire,train
fire/imgs,fire00143.png,fire,train
fire/imgs,fire00144.png,fire,train
fire/imgs,fire00145.png,fire,train
fire/imgs,fire00146.png,fire,train
fire/imgs,fire00147.png,fire,train
fire/imgs,fire00148.png,fire,train
fire/imgs,fire00149.png,fire,train
fire/imgs,fire00150.png,fire,train
fire/imgs,fire00151.png,fire,test
fire/imgs,fire00152.png,fire,train
fire/imgs,fire00153.png,fire,train
fire/imgs,fire00154.png,fire,test
fire/imgs,fire00155.png,fire,train
fire/imgs,fire00156.png,fire,train
fire/imgs,fire00157.png,fire,train
fire/imgs,fire00158.png,fire,test
fire/imgs,fire00159.png,fire,train
fire/imgs,fire00160.png,fire,train
fire/imgs,fire00161.png,fire,test
fire/imgs,fire00162.png,fire,train
fire/imgs,fire00163.png,fire,train
fire/imgs,fire00164.png,fire,train
fire/imgs,fire00165.png,fire,train
fire/imgs,fire00166.png,fire,train
fire/imgs,fire00167.png,fire,test
fire/imgs,fire00168.png,fire,train
fire/imgs,fire00169.png,fire,train
fire/imgs,fire00170.png,fire,train
fire/imgs,fire00171.png,fire,train
fire/imgs,fire00172.png,fire,train
fire/imgs,fire00173.png,fire,train
fire/imgs,fire00174.png,fire,train
fire/imgs,fire00175.png,fire,train
fire/imgs,fire00176.png,fire,train
fire/imgs,fire00177.png,fire,train
fire/imgs,fire00178.png,fire,train
fire/imgs,fire00179.png,fire,train
fire/imgs,fire00180.png,fire,test
fire/imgs,fire00181.png,fire,train
fire/imgs,fire00182.png,fire,train
fire/imgs,fire00183.png,fire,train
fire/imgs,fire00184.png,fire,train
fire/imgs,fire00185.png,fire,test
fire/imgs,fire00186.png,fire,train
fire/imgs,fire00187.png,fire,train
fire/imgs,fire00188.png,fire,train
fire/imgs,fire00189.png,fire,train
fire/imgs,fire00190.png,fire,train
fire/imgs,fire00191.png,fire,test
fire/imgs,fire00192.png,fire,train
fire/imgs,fire00193.png,fire,train
fire/imgs,fire00194.png,fire,train
fire/imgs,fire00195.png,fire,train
fire/imgs,fire00196.png,fire,train
fire/imgs,fire00197.png,fire,train
fire/imgs,fire00198.png,fire,train
fire/imgs,fire00199.png,fire,train
fire/imgs,fire00200.png,fire,train
fire/imgs,fire00201.png,fire,train
fire/imgs,fire00202.png,fire,test
fire/imgs,fire00203.png,fire,train
fire/imgs,fire00204.png,fire,train
fire/imgs,fire00205.png,fire,train
fire/imgs,fire00206.png,fire,train
fire/imgs,fire00207.png,fire,train
fire/imgs,fire00208.png,fire,test
fire/imgs,fire00209.png,fire,train
fire/imgs,fire00210.png,fire,train
fire/imgs,fire00211.png,fire,train
fire/imgs,fire00212.png,fire,test
fire/imgs,fire00213.png,fire,test
fire/imgs,fire00214.png,fire,train
fire/imgs,fire00215.png,fire,test
fire/imgs,fire00216.png,fire,train
fire/imgs,fire00217.png,fire,train
fire/imgs,fire00218.png,fire,test
fire/imgs,fire00219.png,fire,train
fire/imgs,fire00220.png,fire,train
fire/imgs,fire00221.png,fire,train
fire/imgs,fire00222.png,fire,train
fire/imgs,fire00223.png,fire,train
fire/imgs,fire00224.png,fire,train
fire/imgs,fire00225.png,fire,train
fire/imgs,fire00226.png,fire,test
fire/imgs,fire00227.png,fire,train
fire/imgs,fire00228.png,fire,train
fire/imgs,fire00229.png,fire,train
fire/imgs,fire00230.png,fire,train
fire/imgs,fire00231.png,fire,train
fire/imgs,fire00232.png,fire,test
fire/imgs,fire00233.png,fire,test
fire/imgs,fire00234.png,fire,train
fire/imgs,fire00235.png,fire,train
fire/imgs,fire00236.png,fire,test
fire/imgs,fire00237.png,fire,train
fire/imgs,fire00238.png,fire,train
fire/imgs,fire00239.png,fire,test
fire/imgs,fire00240.png,fire,test
fire/imgs,fire00241.png,fire,train
fire/imgs,fire00242.png,fire,train
fire/imgs,fire00243.png,fire,train
fire/imgs,fire00244.png,fire,train
fire/imgs,fire00245.png,fire,train
fire/imgs,fire00246.png,fire,train
fire/imgs,fire00247.png,fire,test
fire/imgs,fire00248.png,fire,test
fire/imgs,fire00249.png,fire,train
fire/imgs,fire00250.png,fire,train
fire/imgs,fire00251.png,fire,train
fire/imgs,fire00252.png,fire,train
fire/imgs,fire00253.png,fire,train
fire/imgs,fire00254.png,fire,train
fire/imgs,fire00255.png,fire,train
fire/imgs,fire00256.png,fire,train
fire/imgs,fire00257.png,fire,train
fire/imgs,fire00258.png,fire,train
fire/imgs,fire00259.png,fire,train
fire/imgs,fire00260.png,fire,train
fire/imgs,fire00261.png,fire,test
fire/imgs,fire00262.png,fire,train
fire/imgs,fire00263.png,fire,train
fire/imgs,fire00264.png,fire,train
fire/imgs,fire00265.png,fire,train
fire/imgs,fire00266.png,fire,train
fire/imgs,fire00267.png,fire,train
fire/imgs,fire00268.png,fire,train
fire/imgs,fire00269.png,fire,train
fire/imgs,fire00270.png,fire,train
fire/imgs,fire00271.png,fire,train
fire/imgs,fire00272.png,fire,test
fire/imgs,fire00273.png,fire,train
fire/imgs,fire00274.png,fire,test
fire/imgs,fire00275.png,fire,test
fire/imgs,fire00276.png,fire,train
fire/imgs,fire00277.png,fire,train
fire/imgs,fire00278.png,fire,test
fire/imgs,fire00279.png,fire,train
fire/imgs,fire00280.png,fire,train
fire/imgs,fire00281.png,fire,train
fire/imgs,fire00282.png,fire,train
fire/imgs,fire00283.png,fire,train
fire/imgs,fire00284.png,fire,test
fire/imgs,fire00285.png,fire,test
fire/imgs,fire00286.png,fire,train
