model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_cairfire_firenet_000.h5,cairfire_firenet,0.9109278350515464,1204,97,119,1005,0.91005291005291,0.9254419677171408,0.9176829268292684,1301,0.9119782214156079,0.8941281138790036,0.9029649595687332,1124
model_cairfire_firenet_001.h5,cairfire_firenet,0.9220618556701032,1186,115,74,1050,0.9412698412698411,0.9116064565718678,0.9262007028504492,1301,0.9012875536480688,0.9341637010676156,0.9174311926605504,1124
model_cairfire_firenet_002.h5,cairfire_firenet,0.9154639175257732,1226,75,130,994,0.9041297935103244,0.9423520368946964,0.9228453142642076,1301,0.9298409728718428,0.8843416370106761,0.9065207478340174,1124
model_cairfire_firenet_003.h5,cairfire_firenet,0.9047422680412373,1232,69,162,962,0.8837876614060258,0.9469638739431206,0.9142857142857144,1301,0.9330746847720659,0.8558718861209964,0.8928074245939676,1124
model_cairfire_firenet_004.h5,cairfire_firenet,0.9055670103092784,1214,87,142,982,0.8952802359882006,0.9331283627978478,0.9138125705683102,1301,0.9186155285313377,0.8736654804270463,0.8955768353853171,1124
model_cairfire_firenet_005.h5,cairfire_firenet,0.9101030927835052,1222,79,139,985,0.8978692138133725,0.9392774788624136,0.9181066867017279,1301,0.925751879699248,0.8763345195729537,0.9003656307129799,1124
model_cairfire_firenet_006.h5,cairfire_firenet,0.8494845360824742,1041,260,105,1019,0.9083769633507852,0.8001537279016141,0.8508377605230895,1301,0.7967161845191556,0.9065836298932384,0.8481065334997919,1124
model_cairfire_fismo_008.h5,cairfire_fismo,0.8015833745670459,3626,433,770,1234,0.8248407643312102,0.8933234786893324,0.8577173270254287,4059,0.740251949610078,0.6157684630738522,0.6722963770089894,2004
model_cairfire_fismo_000.h5,cairfire_fismo,0.7878937819561274,3377,682,604,1400,0.848279326802311,0.8319783197831978,0.8400497512437811,4059,0.6724303554274735,0.6986027944111777,0.6852667645619187,2004
model_cairfire_fismo_001.h5,cairfire_fismo,0.8066963549397987,3538,521,651,1353,0.8445929816185247,0.8716432618871643,0.8579049466537342,4059,0.7219850586979722,0.6751497005988024,0.6977823620422898,2004
