model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_firenet_self_000.h5,firenet_self,0.9478737997256516,371,20,18,320,0.9537275064267352,0.9488491048593349,0.9512820512820512,391,0.9411764705882352,0.9467455621301776,0.9439528023598821,338
model_firenet_self_001.h5,firenet_self,0.9547325102880658,375,16,17,321,0.9566326530612244,0.959079283887468,0.9578544061302682,391,0.9525222551928784,0.9497041420118344,0.9511111111111112,338
model_firenet_self_002.h5,firenet_self,0.9602194787379972,381,10,19,319,0.9525,0.9744245524296676,0.963337547408344,391,0.9696048632218844,0.9437869822485208,0.9565217391304348,338
model_firenet_self_003.h5,firenet_self,0.9547325102880658,375,16,17,321,0.9566326530612244,0.959079283887468,0.9578544061302682,391,0.9525222551928784,0.9497041420118344,0.9511111111111112,338
model_firenet_self_004.h5,firenet_self,0.9547325102880658,377,14,19,319,0.952020202020202,0.9641943734015346,0.9580686149936468,391,0.957957957957958,0.9437869822485208,0.9508196721311476,338
model_firenet_self_005.h5,firenet_self,0.9574759945130316,377,14,17,321,0.9568527918781726,0.9641943734015346,0.9605095541401276,391,0.9582089552238806,0.9497041420118344,0.9539375928677564,338
model_firenet_self_006.h5,firenet_self,0.9519890260631,379,12,23,315,0.9427860696517412,0.9693094629156009,0.9558638083228248,391,0.963302752293578,0.9319526627218936,0.9473684210526316,338
model_firenet_self_007.h5,firenet_self,0.9574759945130316,380,11,20,318,0.95,0.9718670076726342,0.9608091024020228,391,0.9665653495440728,0.940828402366864,0.9535232383808094,338
model_firenet_self_008.h5,firenet_self,0.9547325102880658,379,12,21,317,0.9475,0.9693094629156009,0.9582806573957016,391,0.9635258358662614,0.9378698224852072,0.9505247376311844,338
model_firenet_self_009.h5,firenet_self,0.953360768175583,370,21,13,325,0.9660574412532638,0.9462915601023018,0.9560723514211886,391,0.9393063583815028,0.9615384615384616,0.9502923976608189,338
model_firenet_fismo_000.h5,firenet_fismo,0.8187365990433778,3560,499,600,1404,0.8557692307692307,0.8770633160877064,0.8662854361844506,4059,0.7377824487651077,0.7005988023952096,0.7187100076785257,2004
model_firenet_fismo_001.h5,firenet_fismo,0.8172521853867722,3447,612,496,1508,0.8742074562515851,0.8492239467849224,0.8615346163459136,4059,0.7113207547169811,0.7524950099800399,0.7313288069835111,2004
model_firenet_fismo_002.h5,firenet_fismo,0.8169223156853043,3619,440,670,1334,0.8437864304033574,0.8915989159891599,0.8670340201245808,4059,0.7519729425028185,0.6656686626746507,0.7061937533086291,2004
model_firenet_fismo_003.h5,firenet_fismo,0.8149430974764967,3429,630,492,1512,0.8745218056618209,0.844789356984479,0.8593984962406016,4059,0.7058823529411765,0.7544910179640718,0.7293777134587555,2004
model_firenet_fismo_004.h5,firenet_fismo,0.8276430809830118,3523,536,509,1495,0.8737599206349206,0.8679477703867948,0.8708441478185638,4059,0.7360905957656327,0.7460079840319361,0.7410161090458489,2004
model_firenet_fismo_005.h5,firenet_fismo,0.8283028203859476,3481,578,463,1541,0.882606490872211,0.8576003941857601,0.8699237785830315,4059,0.7272298253893346,0.7689620758483033,0.7475139461557118,2004
model_firenet_fismo_006.h5,firenet_fismo,0.8287976249381495,3596,463,575,1429,0.8621433708942701,0.8859324956885932,0.8738760631834751,4059,0.7552854122621564,0.7130738522954092,0.7335728952772074,2004
model_firenet_fismo_007.h5,firenet_fismo,0.8108197262081478,3429,630,517,1487,0.8689812468322352,0.844789356984479,0.8567145534041224,4059,0.7024090694378838,0.7420159680638723,0.7216694976947342,2004
model_firenet_fismo_008.h5,firenet_fismo,0.8151080323272307,3483,576,545,1459,0.8646971201588878,0.8580931263858093,0.8613824656856685,4059,0.7169533169533171,0.7280439121756487,0.7224560534785839,2004
model_firenet_fismo_009.h5,firenet_fismo,0.8111495959096157,3329,730,415,1589,0.8891559829059829,0.8201527469820152,0.8532615660643342,4059,0.6852091418714963,0.7929141716566867,0.7351376359009947,2004
model_firenet_cairfire_000.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_001.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_002.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_003.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_004.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_005.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_006.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_007.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_008.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_cairfire_009.h5,firenet_cairfire,1.0,541,0,0,110,1.0,1.0,1.0,541,1.0,1.0,1.0,110
model_firenet_firesense_000.h5,firenet_firesense,0.8289183222958058,532,45,110,219,0.8286604361370716,0.9220103986135182,0.8728465955701393,577,0.8295454545454546,0.6656534954407295,0.7386172006745363,329
model_firenet_firesense_001.h5,firenet_firesense,0.8554083885209713,497,80,51,278,0.906934306569343,0.8613518197573656,0.8835555555555555,577,0.7765363128491619,0.8449848024316109,0.809315866084425,329
model_firenet_firesense_002.h5,firenet_firesense,0.8796909492273731,485,92,17,312,0.9661354581673308,0.8405545927209706,0.8989805375347545,577,0.7722772277227723,0.9483282674772036,0.8512960436562074,329
model_firenet_firesense_003.h5,firenet_firesense,0.8609271523178808,558,19,107,222,0.8390977443609022,0.9670710571923744,0.8985507246376812,577,0.921161825726141,0.6747720364741642,0.7789473684210526,329
model_firenet_firesense_004.h5,firenet_firesense,0.8399558498896247,498,79,66,263,0.8829787234042553,0.8630849220103987,0.8729184925503943,577,0.7690058479532164,0.7993920972644377,0.7839046199701939,329
model_firenet_firesense_005.h5,firenet_firesense,0.8543046357615894,536,41,91,238,0.8548644338118022,0.92894280762565,0.8903654485049833,577,0.8530465949820788,0.7234042553191491,0.7828947368421052,329
model_firenet_firesense_006.h5,firenet_firesense,0.8355408388520972,514,63,86,243,0.8566666666666667,0.8908145580589255,0.8734069668649108,577,0.7941176470588235,0.7386018237082067,0.7653543307086614,329
model_firenet_firesense_007.h5,firenet_firesense,0.8830022075055187,542,35,71,258,0.8841761827079935,0.9393414211438474,0.9109243697478993,577,0.8805460750853242,0.78419452887538,0.8295819935691319,329
model_firenet_firesense_008.h5,firenet_firesense,0.8664459161147903,516,61,60,269,0.8958333333333334,0.8942807625649913,0.8950563746747614,577,0.8151515151515152,0.817629179331307,0.8163884673748102,329
model_firenet_firesense_009.h5,firenet_firesense,0.8101545253863135,520,57,115,214,0.8188976377952756,0.901213171577123,0.8580858085808579,577,0.7896678966789668,0.6504559270516718,0.7133333333333333,329
