model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_firesense_fismo_000.h5,firesense_fismo,0.706251030842817,2703,1356,425,1579,0.8641304347826086,0.6659275683665927,0.7521914567969946,4059,0.5379897785349234,0.7879241516966068,0.6394006883984613,2004
model_firesense_fismo_001.h5,firesense_fismo,0.7006432459178624,3413,646,1169,835,0.7448712352684417,0.8408474993840848,0.789954866334915,4059,0.5638082376772451,0.4166666666666667,0.47919655667144906,2004
model_firesense_fismo_002.h5,firesense_fismo,0.7349496948705262,3175,884,723,1281,0.814520266803489,0.7822123675782212,0.798039462108835,4059,0.5916859122401847,0.6392215568862275,0.6145358599184457,2004
model_firesense_fismo_003.h5,firesense_fismo,0.6744186046511628,3162,897,1077,927,0.745930644019816,0.779009608277901,0.7621113521330443,4059,0.5082236842105263,0.4625748502994012,0.48432601880877746,2004
model_firesense_fismo_004.h5,firesense_fismo,0.7110341415141019,2825,1234,518,1486,0.8450493568650912,0.6959842325695984,0.7633072142664145,4059,0.5463235294117647,0.7415169660678643,0.6291278577476714,2004
model_firesense_fismo_005.h5,firesense_fismo,0.6958601352465776,2698,1361,483,1521,0.8481609556743163,0.6646957378664696,0.745303867403315,4059,0.5277585010409438,0.7589820359281437,0.6225951698731069,2004
model_firesense_fismo_006.h5,firesense_fismo,0.6919016988289626,3882,177,1691,313,0.6965727615287995,0.9563932002956393,0.8060631229235881,4059,0.6387755102040816,0.156187624750499,0.2510024057738573,2004
model_firesense_fismo_007.h5,firesense_fismo,0.7497938314365825,3124,935,582,1422,0.8429573664328116,0.7696476964769647,0.8046361880231808,4059,0.6033092914722105,0.7095808383233533,0.6521440036688833,2004
model_firesense_fismo_008.h5,firesense_fismo,0.6402770905492331,3592,467,1714,290,0.6769694685261968,0.8849470312884947,0.7671115856914041,4059,0.38309114927344784,0.14471057884231536,0.2100688156465049,2004
model_firesense_fismo_009.h5,firesense_fismo,0.6653471878607949,2432,1627,402,1602,0.858151023288638,0.5991623552599162,0.7056434063542724,4059,0.4961288324558687,0.7994011976047904,0.6122682973437799,2004
model_firesense_firenet_000.h5,firesense_firenet,0.6791752577319587,844,457,321,803,0.7244635193133048,0.6487317448116833,0.6845093268450932,1301,0.6373015873015873,0.7144128113879004,0.6736577181208054,1124
model_firesense_firenet_001.h5,firesense_firenet,0.685360824742268,882,419,344,780,0.7194127243066885,0.6779400461183704,0.6980609418282547,1301,0.6505421184320267,0.693950177935943,0.6715454154111064,1124
model_firesense_firenet_002.h5,firesense_firenet,0.728659793814433,939,362,296,828,0.7603238866396761,0.7217524980784013,0.7405362776025237,1301,0.6957983193277311,0.7366548042704626,0.7156439066551427,1124
model_firesense_firenet_003.h5,firesense_firenet,0.6717525773195876,798,503,293,831,0.7314390467461045,0.6133743274404304,0.6672240802675585,1301,0.6229385307346327,0.7393238434163701,0.676159479251424,1124
model_firesense_firenet_004.h5,firesense_firenet,0.6795876288659793,1017,284,493,631,0.6735099337748345,0.781706379707917,0.7235859124866597,1301,0.6896174863387978,0.5613879003558719,0.6189308484551251,1124
model_firesense_firenet_005.h5,firesense_firenet,0.7208247422680413,878,423,254,870,0.7756183745583038,0.6748654880860876,0.7217427044800656,1301,0.6728538283062645,0.7740213523131673,0.7199007033512619,1124
model_firesense_firenet_006.h5,firesense_firenet,0.6494845360824743,1073,228,622,502,0.6330383480825958,0.824750192159877,0.7162883845126836,1301,0.6876712328767123,0.44661921708185054,0.5415318230852211,1124
model_firesense_firenet_007.h5,firesense_firenet,0.6556701030927835,826,475,360,764,0.6964586846543002,0.6348962336664105,0.6642541214314435,1301,0.6166263115415658,0.6797153024911032,0.6466356326703343,1124
model_firesense_firenet_008.h5,firesense_firenet,0.6383505154639175,941,360,517,607,0.6454046639231824,0.7232897770945427,0.6821312069590432,1301,0.6277145811789038,0.5400355871886121,0.5805834528933524,1124
model_firesense_firenet_009.h5,firesense_firenet,0.6750515463917526,773,528,260,864,0.7483059051306873,0.5941583397386626,0.6623821765209941,1301,0.6206896551724138,0.7686832740213523,0.6868044515103339,1124
model_firesense_cairfire_000.h5,firesense_cairfire,0.8402457757296466,537,4,100,10,0.8430141287284144,0.9926062846580407,0.9117147707979627,541,0.7142857142857143,0.09090909090909091,0.16129032258064518,110
model_firesense_cairfire_001.h5,firesense_cairfire,0.8110599078341014,518,23,100,10,0.8381877022653722,0.9574861367837338,0.8938740293356342,541,0.30303030303030304,0.09090909090909091,0.13986013986013987,110
model_firesense_cairfire_002.h5,firesense_cairfire,0.8325652841781874,531,10,99,11,0.8428571428571429,0.9815157116451017,0.9069171648163963,541,0.5238095238095238,0.1,0.16793893129770995,110
model_firesense_cairfire_003.h5,firesense_cairfire,0.8325652841781874,541,0,109,1,0.8323076923076923,1.0,0.9084802686817801,541,1.0,0.00909090909090909,0.018018018018018018,110
model_firesense_cairfire_004.h5,firesense_cairfire,0.8387096774193549,510,31,74,36,0.8732876712328768,0.9426987060998152,0.9066666666666667,541,0.5373134328358209,0.32727272727272727,0.4067796610169492,110
model_firesense_cairfire_005.h5,firesense_cairfire,0.8310291858678955,541,0,110,0,0.8310291858678955,1.0,0.9077181208053692,541,0.0,0.0,0.0,110
model_firesense_cairfire_006.h5,firesense_cairfire,0.8310291858678955,541,0,110,0,0.8310291858678955,1.0,0.9077181208053692,541,0.0,0.0,0.0,110
model_firesense_cairfire_007.h5,firesense_cairfire,0.8248847926267281,537,4,110,0,0.8299845440494591,0.9926062846580407,0.904040404040404,541,0.0,0.0,0.0,110
model_firesense_cairfire_008.h5,firesense_cairfire,0.82642089093702,538,3,110,0,0.8302469135802469,0.9944547134935305,0.9049621530698067,541,0.0,0.0,0.0,110
model_firesense_cairfire_009.h5,firesense_cairfire,0.8187403993855606,517,24,94,16,0.8461538461538461,0.955637707948244,0.8975694444444445,541,0.4,0.14545454545454545,0.21333333333333335,110
model_firesense_self_000.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_001.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_002.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_003.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_004.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_005.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_006.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_007.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_008.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
model_firesense_self_009.h5,firesense_self,1.0,116,0,0,66,1.0,1.0,1.0,116,1.0,1.0,1.0,66
