model_name,datasets_id,accuracy,nofire_as_nofire,fire_as_nofire,nofire_as_fire,fire_as_fire,nofire_precision,nofire_recall,nofire_f1-score,nofire_support,fire_precision,fire_recall,fire_f1-score,fire_support
model_fismo_firenet_000.h5,fismo_firenet,0.8482474226804124,1221,80,288,836,0.8091451292246521,0.9385088393543428,0.8690391459074732,1301,0.9126637554585153,0.7437722419928826,0.819607843137255,1124
model_fismo_firenet_001.h5,fismo_firenet,0.843298969072165,1193,108,272,852,0.8143344709897611,0.9169869331283628,0.8626174981923356,1301,0.8875,0.7580071174377224,0.8176583493282149,1124
model_fismo_firenet_002.h5,fismo_firenet,0.8474226804123711,1192,109,261,863,0.8203716448726772,0.9162182936202921,0.8656499636891793,1301,0.8878600823045267,0.7677935943060499,0.8234732824427482,1124
model_fismo_firenet_003.h5,fismo_firenet,0.828041237113402,1216,85,332,792,0.7855297157622739,0.9346656418139893,0.8536328536328537,1301,0.9030786773090079,0.7046263345195729,0.7916041979010493,1124
model_fismo_firenet_004.h5,fismo_firenet,0.8416494845360825,1158,143,241,883,0.827734095782702,0.8900845503458877,0.8577777777777779,1301,0.8606237816764133,0.7855871886120996,0.8213953488372092,1124
model_fismo_firenet_005.h5,fismo_firenet,0.8589690721649484,1164,137,205,919,0.8502556610664719,0.8946963873943121,0.8719101123595507,1301,0.8702651515151515,0.8176156583629893,0.8431192660550458,1124
model_fismo_firenet_006.h5,fismo_firenet,0.8424742268041238,1219,82,300,824,0.8025016458196181,0.9369715603382014,0.8645390070921986,1301,0.9094922737306843,0.7330960854092526,0.8118226600985222,1124
model_fismo_firenet_007.h5,fismo_firenet,0.8498969072164948,1228,73,291,833,0.8084265964450297,0.9438893159108378,0.8709219858156029,1301,0.9194260485651214,0.7411032028469751,0.8206896551724138,1124
model_fismo_firenet_008.h5,fismo_firenet,0.8490721649484536,1177,124,242,882,0.8294573643410853,0.9046887009992314,0.8654411764705883,1301,0.8767395626242545,0.7846975088967971,0.828169014084507,1124
model_fismo_firenet_009.h5,fismo_firenet,0.84,1198,103,285,839,0.8078219824679703,0.9208301306687163,0.8606321839080461,1301,0.8906581740976646,0.74644128113879,0.8121974830590514,1124
